year,energy_kbtu,ghg_tons,dc_floor
2020,1666390.8,107.5,Not Available
2020,5022480.9,398.6,Not Available
2020,22315905.8,1323,Not Available
2020,126690147.9,7582.1,Not Available
2020,8886592.8,518.3,Not Available
2020,8329013.8,483.4,Not Available
2020,9244444.7,544.8,Not Available
2020,9006419.3,534.8,Not Available
2020,6207689.1,356.7,Not Available
2020,6595081.3,379.6,Not Available
2020,5060392.3,293.1,Not Available
2020,9835551.9,589.9,Not Available
2020,9166526.2,548.8,Not Available
2020,5017731.1,330.5,Not Available
2020,6732998.3,415.5,Not Available
2020,7851498.2,475.9,Not Available
2020,Not Available,0,Not Available
2020,12233555.4,747.7,Not Available
2020,6783171.4,518.5,Not Available
2020,4714451,278,Not Available
2020,7993855.2,540.1,Not Available
2020,6742812.1,453.5,Not Available
2020,7072087.3,555.7,Not Available
2020,18192031.3,1039.2,Not Available
2020,11800302.5,685.2,Not Available
2020,15116285.2,911.5,Not Available
2020,37874289.5,2190.4,Not Available
2020,21624599,1269.5,Not Available
2020,24508336.5,1390.7,Not Available
2020,41967878.2,2449.7,Not Available
2020,8269340.5,490.9,Not Available
2020,4531234.3,342.5,Not Available
2020,9476974,727.7,Not Available
2020,19108175.2,1232,Not Available
2020,6766711.9,407.7,Not Available
2020,21260212.7,1310.3,Not Available
2020,32822716.8,1974.7,Not Available
2020,4507989.7,305.5,Not Available
2020,26218618.3,1455.5,Not Available
2020,14713522.6,921.7,Not Available
2020,44930518.7,2720.9,Not Available
2020,10086872.9,614.9,Not Available
2020,25719034.7,1802.9,Not Available
2020,13976496.3,1114.2,Not Available
2020,4430006.3,268.4,Not Available
2020,11240968.7,646.8,Not Available
2020,11054334.8,843.1,Not Available
2020,4602623.2,261.5,Not Available
2020,5095693.2,323.1,Not Available
2020,1285888.8,100.3,Not Available
2020,6061319.6,349,Not Available
2020,6641912.9,407.9,Not Available
2020,6076152.3,359.8,Not Available
2020,4891531.6,280,Not Available
2020,3819533,220,Not Available
2020,3911463.9,226.5,Not Available
2020,4617202,281,Not Available
2020,3699812.3,229.8,Not Available
2020,11333992.4,810.9,Not Available
2020,5687480.4,429.2,Not Available
2020,7059309.2,433.7,Not Available
2020,7851498.2,475.9,Not Available
2020,31241099.2,1854.1,Not Available
2020,7472364.3,429.8,Not Available
2020,6697770.5,434.6,Not Available
2020,5655094,336.5,Not Available
2020,7472261.9,435,Not Available
2020,5563537.5,337,Not Available
2020,7885345.9,492.5,Not Available
2020,4484619.5,262.7,Not Available
2020,7277622.3,429.1,Not Available
2020,8191946.2,486.9,Not Available
2020,4223329,261.8,Not Available
2020,5885612.7,352.4,Not Available
2020,6617303.5,388.4,Not Available
2020,6638012.6,391.2,Not Available
2020,14994562.1,912.5,Not Available
2020,9038798.4,525,Not Available
2020,1966347.2,164.5,Not Available
2020,2410293.7,196.3,Not Available
2020,14945628.7,875.9,Not Available
2020,4989160.9,287.4,Not Available
2020,6555756.1,381.7,Not Available
2020,9750915.3,578.1,Not Available
2020,21643734.3,1305,Not Available
2020,5062890.3,290.1,Not Available
2020,4996228,287.9,Not Available
2020,6584613.4,388.4,Not Available
2020,5776299,400.5,Not Available
2020,21099543.8,1612.2,Not Available
2020,17551933.9,1098,Not Available
2020,3874454.2,228,Not Available
2020,9465434.6,719.6,Not Available
2020,9489054.4,582.3,Not Available
2020,7972344.9,458.4,Not Available
2020,8362914.3,480.3,Not Available
2020,5455021.3,311.3,Not Available
2020,8109163.8,476.4,Not Available
2020,5104144.4,296.2,Not Available
2020,16809546,1283.5,Not Available
2020,5488902.2,318.1,Not Available
2020,823458.1,67.8,Not Available
2020,53565870.5,2863.4,Not Available
2020,753902,61.4,Not Available
2020,807552.6,65.8,Not Available
2020,804859.3,66.3,Not Available
2020,1287108,107.5,Not Available
2020,792502.5,65,Not Available
2020,816780.8,67.3,Not Available
2020,856677,70.2,Not Available
2020,762412.3,62.6,Not Available
2020,71424062.9,4258.4,Not Available
2020,4420061.6,268.1,Not Available
2020,15744663,1109.4,Not Available
2020,16206894.9,1222.2,Not Available
2020,5865185.6,341.7,Not Available
2020,11669067,882.1,Not Available
2020,3422505.2,289.3,Not Available
2020,6463279.4,546.4,Not Available
2020,4500681.2,337.8,Not Available
2020,5887853.6,419.3,Not Available
2020,4801025.6,405.9,Not Available
2020,1956214.3,160.2,Not Available
2020,2447312,204.7,Not Available
2020,3623040.6,220.4,Not Available
2020,710498.7,48.5,Not Available
2020,2019432.4,130.4,Not Available
2020,7059361,457.2,Not Available
2020,870363.8,73.6,Not Available
2020,3097289.9,242,Not Available
2020,315500,16.8,Not Available
2020,315500,16.8,Not Available
2020,Not Available,0,Not Available
2020,4364258.3,244.9,Not Available
2020,2693429.3,182.5,Not Available
2020,2506185.5,161.4,Not Available
2020,4131102.6,271.5,Not Available
2020,3954797.3,279,Not Available
2020,3806698.9,291.8,Not Available
2020,5594118,347.2,Not Available
2020,4963361.5,344,Not Available
2020,5616435.6,428.8,Not Available
2020,1288762.6,99.4,Not Available
2020,50046435.3,2798.7,Not Available
2020,10429700.1,554,Not Available
2020,346900,18.4,Not Available
2020,5992499.9,318.3,Not Available
2020,554500,29.5,Not Available
2020,5590399.7,296.9,Not Available
2020,11373299.9,604.1,Not Available
2020,376800,20,Not Available
2020,1007707.3,85.2,Not Available
2020,1393713.6,117.8,Not Available
2020,1013020,85.6,Not Available
2020,10478873.4,638.1,Not Available
2020,4968055.6,378.7,Not Available
2020,6603541.6,504.3,Not Available
2020,7468088.5,430.6,Not Available
2020,3707664.7,236.3,Not Available
2020,1065897.7,89.1,Not Available
2020,986346.5,66,Not Available
2020,3846409.5,223.4,Not Available
2020,2427309,205.2,Not Available
2020,5713252.6,332.8,Not Available
2020,2602206.2,161.8,Not Available
2020,6708080.4,416.9,Not Available
2020,2082802.9,129.3,Not Available
2020,3629734.7,213.3,Not Available
2020,4751279.4,269,Not Available
2020,9183798.4,560.1,Not Available
2020,498210.8,42.1,Not Available
2020,3401395.1,197.7,Not Available
2020,5277655.5,294.7,Not Available
2020,4755190.4,395.2,Not Available
2020,2266600.5,191.6,Not Available
2020,1683037.7,140.1,Not Available
2020,805552.2,63.5,Not Available
2020,466241.7,39.4,Not Available
2020,4606987.9,259.4,Not Available
2020,3059636.6,179,Not Available
2020,452875.7,38.3,Not Available
2020,5486801.1,323.2,Not Available
2020,5358735.7,343.6,Not Available
2020,6082668.4,488.5,Not Available
2020,5002539.1,344.7,Not Available
2020,45571424.5,3211.5,Not Available
2020,2795787.5,214.1,Not Available
2020,1316112.3,107.4,Not Available
2020,1298071.7,86.3,Not Available
2020,703718.7,59.5,Not Available
2020,2833188.6,183.8,Not Available
2020,3727016.3,222.1,Not Available
2020,3617708,207.4,Not Available
2020,7927496.8,494,Not Available
2020,665515.6,39.5,Not Available
2020,582810,45.3,Not Available
2020,4534607,383.4,Not Available
2020,1639932.7,138.6,Not Available
2020,672928.3,51.5,Not Available
2020,5138890.8,429,Not Available
2020,991955.7,67.9,Not Available
2020,6433431.5,424.3,Not Available
2020,6512624.2,432.6,Not Available
2020,635594,50.6,Not Available
2020,197500.2,16.7,Not Available
2020,7639482.8,447.8,Not Available
2020,2549251.2,215.5,Not Available
2020,2023947.8,171.1,Not Available
2020,11655266.6,682.5,Not Available
2020,6107042.4,352.2,Not Available
2020,5542368.6,316.5,Not Available
2020,16538814.4,1274.3,Not Available
2020,5978584.1,343.5,Not Available
2020,7969219.8,624.7,Not Available
2020,87969.6,5.3,Not Available
2020,7948539.5,523.3,Not Available
2020,7350911.2,429.6,Not Available
2020,2798893.7,159,Not Available
2020,10212277.7,595.7,Not Available
2020,11482580.4,672.5,Not Available
2020,19688372.7,1100.7,Not Available
2020,4600951.1,277.2,Not Available
2020,4675017.2,271.5,Not Available
2020,5193032.3,389.6,Not Available
2020,4891094.3,276.7,Not Available
2020,6047350.7,357.2,Not Available
2020,5676567.4,325.8,Not Available
2020,14619516.5,906.1,Not Available
2020,6458208.9,374.5,Not Available
2020,650891.4,55,Not Available
2020,2531155.7,145,Not Available
2020,1495737.9,126.5,Not Available
2020,6111986.6,367.1,Not Available
2020,1398732.4,85.5,Not Available
2020,12304915.6,719.9,Not Available
2020,4564043.3,263.5,Not Available
2020,5416730.9,307.7,Not Available
2020,2281999.6,131.3,Not Available
2020,6987675.4,444.7,Not Available
2020,9381167.8,560.8,Not Available
2020,3830939.2,230.1,Not Available
2020,9535893,695.2,Not Available
2020,9889155,735.3,Not Available
2020,26057949,1502.5,Not Available
2020,11477895.3,673.4,Not Available
2020,34110714.3,2113.6,Not Available
2020,13943287.9,836.6,Not Available
2020,14451255.4,902.2,Not Available
2020,34259637.8,2240.1,Not Available
2020,24140511.3,1386.2,Not Available
2020,11674633,816.9,Not Available
2020,20639506,1284.7,Not Available
2020,3378562.2,250.6,Not Available
2020,4320256,343.8,Not Available
2020,15977018.8,1275.2,Not Available
2020,4436662.7,268.4,Not Available
2020,5175509.7,367.9,Not Available
2020,17736357.4,1055.1,Not Available
2020,14639079,1062.6,Not Available
2020,64498680.3,3726.6,Not Available
2020,13187665.5,937.7,Not Available
2020,19605196,1302.2,Not Available
2020,103246364.7,5760.1,Not Available
2020,8162135.3,690,Not Available
2020,4153018.7,351.1,Not Available
2020,37532086.2,2713.9,Not Available
2020,30881726.5,2222.9,Not Available
2020,33926968,2240.3,Not Available
2020,50899775.8,3302.7,Not Available
2020,31075739.1,1957.4,Not Available
2020,14811094.9,883.9,Not Available
2020,43645218.3,2671.5,Not Available
2020,16934415.5,1010.4,Not Available
2020,17284057.3,1019.3,Not Available
2020,16592298.6,1006.6,Not Available
2020,22657814.2,1487.6,Not Available
2020,15353532.9,1132.6,Not Available
2020,17603951.9,1143.8,Not Available
2020,3191925,267.6,Not Available
2020,9364605.6,599.5,Not Available
2020,15957194.2,1161.5,Not Available
2020,24086824.6,1456.3,Not Available
2020,10394913.4,800.7,Not Available
2020,3682144.3,217.2,Not Available
2020,17699714,1047.6,Not Available
2020,7606451.9,541.1,Not Available
2020,15227018.9,932.9,Not Available
2020,16675802.1,1103.4,Not Available
2020,11001135.6,747.2,Not Available
2020,12866797.9,801.5,Not Available
2020,11657203.4,794.7,Not Available
2020,7441575.9,570,Not Available
2020,23302309.4,1440.9,Not Available
2020,4874455.5,324.8,Not Available
2020,4159572.8,260.9,Not Available
2020,5374280,338.9,Not Available
2020,8577844.5,528.7,Not Available
2020,5271810.5,357.7,Not Available
2020,6750153.1,472.7,Not Available
2020,6232188.5,425.1,Not Available
2020,4619589.4,320.6,Not Available
2020,7062813.7,489.1,Not Available
2020,30290764.6,1796.2,Not Available
2020,34437373.4,2143.1,Not Available
2020,25334387.1,1850.3,Not Available
2020,17882914.9,1247.8,Not Available
2020,4669403.6,277.1,Not Available
2020,10162696.6,591.9,Not Available
2020,26588653.6,1937.8,Not Available
2020,14792428.4,1078.4,Not Available
2020,14049982.7,1068.9,Not Available
2020,22830486,1411,Not Available
2020,16829822.3,1292.3,Not Available
2020,13976232.6,1042.3,Not Available
2020,45933305.6,2782.3,Not Available
2020,51665244.8,3270.4,Not Available
2020,5234461.7,348.8,Not Available
2020,68830554.3,4155.1,Not Available
2020,65664540.6,3828.8,Not Available
2020,10961901.6,673.6,Not Available
2020,8604893.9,518.6,Not Available
2020,18130359.9,1197.5,Not Available
2020,7693986.2,588.5,Not Available
2020,8166845.3,539.2,Not Available
2020,7291457.9,416.5,Not Available
2020,5597152.1,327.7,Not Available
2020,13821839,1059.4,Not Available
2020,7196583,420.3,Not Available
2020,6415311.7,372.9,Not Available
2020,3991770.1,233.1,Not Available
2020,5617487.2,429.1,Not Available
2020,13751732.6,830.9,Not Available
2020,31570757.4,2450.8,Not Available
2020,5010216.3,376.6,Not Available
2020,12533051,973,Not Available
2020,16521399.4,1027.8,Not Available
2020,6100802.8,356,Not Available
2020,10250036.1,761.5,Not Available
2020,3895461,231.6,Not Available
2020,18626440,1416.3,Not Available
2020,8184659,500.2,Not Available
2020,7185943.2,417.2,Not Available
2020,8520141.5,604.1,Not Available
2020,5216509.6,364.9,Not Available
2020,18694328.2,1313.9,Not Available
2020,21370591.9,1627.6,Not Available
2020,7191061.6,512.3,Not Available
2020,12900603.6,998.6,Not Available
2020,6338277.6,420,Not Available
2020,9239210.4,661.2,Not Available
2020,12903931.6,767.4,Not Available
2020,8572649.3,602.3,Not Available
2020,22417791.5,1722.5,Not Available
2020,14902909.8,943,Not Available
2020,15071450.6,1169.2,Not Available
2020,18856318.7,1195.8,Not Available
2020,12476851.7,949.3,Not Available
2020,9969286.8,593.3,Not Available
2020,7072661.4,423.9,Not Available
2020,7996784.7,570.3,Not Available
2020,32325342.5,1909.2,Not Available
2020,26028754.5,1532.5,Not Available
2020,13398650.5,806,Not Available
2020,27610680.6,1897.9,Not Available
2020,24359699.4,1460.9,Not Available
2020,11500923.5,700.9,Not Available
2020,7445224.3,437.4,Not Available
2020,8745406.6,507.4,Not Available
2020,20248581.8,1396.1,Not Available
