year,energy_kbtu,ghg_tons,dc_floor
2022,520173,29.9,Not Available
2022,3096670.2,216.1,Not Available
2022,2244816.6,163.1,Not Available
2022,7314028.3,457.3,Not Available
2022,3838751.8,320.9,Not Available
2022,5902717.6,335.6,Not Available
2022,4876279.1,308.6,Not Available
2022,1959777,131.1,Not Available
2022,10402318.2,596.9,Not Available
2022,10866274.5,639.7,Not Available
2022,13080412.8,762.8,Not Available
2022,6036866.7,350.6,Not Available
2022,2530156.2,148.7,Not Available
2022,3004443.9,175.7,Not Available
2022,4621563.1,275.5,Not Available
2022,4611584.6,344.2,Not Available
2022,4392683.1,328.2,Not Available
2022,4914506.4,367.4,Not Available
2022,4274914.5,319,Not Available
2022,4838630.1,360.5,Not Available
2022,4014844.2,300.7,Not Available
2022,3773339.8,229.2,Not Available
2022,4970154.3,292.7,Not Available
2022,5848473.1,344.9,Not Available
2022,5627650.7,340,Not Available
2022,4406532.5,256.1,Not Available
2022,5347625.1,308.2,Not Available
2022,3778326.8,227.4,Not Available
2022,3139296.9,180.7,Not Available
2022,2777939.1,165.7,Not Available
2022,3771013.5,228.3,Not Available
2022,7286949.1,420.5,Not Available
2022,8107203.2,578.6,Not Available
2022,3324918.4,202.8,Not Available
2022,2714672.8,190,Not Available
2022,12029260.7,735.9,Not Available
2022,15149655,861.5,Not Available
2022,2321661.1,144.1,Not Available
2022,2412150.3,154,Not Available
2022,3439044.5,233.6,Not Available
2022,1187725.6,90.6,Not Available
2022,9376964.6,542.8,Not Available
2022,2327718.3,180.8,Not Available
2022,875331.2,64.9,Not Available
2022,4398450.7,315.6,Not Available
2022,3712592.8,259.7,Not Available
2022,6462839.1,401.2,Not Available
2022,2631050.4,166.3,Not Available
2022,2523514.5,194,Not Available
2022,1662334,108.4,Not Available
2022,4359829,344.3,Not Available
2022,1714870.5,107.8,Not Available
2022,1371768.3,107.6,Not Available
2022,1520841.7,108,Not Available
2022,3044034.6,239.9,Not Available
2022,4073070.7,311.5,Not Available
2022,3806715.7,224.8,Not Available
