NAME,ADDRESS,ZIPCODE,CITY,STATE,COUNTRY,result_num,osm_id,display_na,category,type,lat,long
Evocative Data Centers,480 N Bedford Rd,10514,Chappaqua,New York,USA,0,8805873836,"Building 600N, 480, Bedford Road, Chappaqua, Town of New Castle, Westchester County, New York, 10514, United States",place,house,41.1774816,-73.7512709
QTS Data Centers,6351 Longhorn Drive,75063,Irving,Texas,USA,0,9983085,"6351, Longhorn Drive, Irving, Dallas County, Texas, 75063, United States",place,house,32.89466316,-96.98029314
Centersquare,2681 Kelvin Ave,92614,Irvine,California,USA,0,504259521,"2681, Kelvin Avenue, Irvine Business Complex, Irvine, Orange County, California, 92614, United States",building,commercial,33.6847703,-117.8366956
ExcalTech,3618 8th Ave,53140,Kenosha,Wisconsin,USA,0,21498681,"3618, 8th Avenue, Grant, Kenosha, Kenosha County, Wisconsin, 53140, United States",place,house,42.60616547,-87.82167142
CoreSite,2950 Stender Way,95054,Santa Clara,California,USA,0,25356245,"2950, Stender Way, Santa Clara, Santa Clara County, California, 95054, United States",place,house,37.37556509,-121.970277
Centersquare,580 Winter St,2451,Waltham,Massachusetts,USA,0,896952355,"580, Winter Street, Prospectville, Waltham, Middlesex County, Massachusetts, 02451, United States",place,house,42.39709207,-71.26718514
Windstream,701 W Henry Street,46225,Indianapolis,Indiana,USA,0,10284097181,"701, West Henry Street, Old Southside, Indianapolis, Marion County, Indiana, 46225, United States",place,house,39.7595371,-86.1709558
"InterServer, Inc",110 Meadowlands PKWY,7094,Secaucus,New Jersey,USA,0,55316742,"110, Meadowlands Parkway, Harmon Cove, Secaucus, Hudson County, New Jersey, 07094, United States",place,house,40.78121855,-74.07841251
CloudHQ,44621 Waxpool Rd,20147,Ashburn,Virginia,USA,0,601391687,"44621, Waxpool Road, Ashburn, Loudoun County, Virginia, 20147, United States",place,house,39.01381403,-77.46354856
Data Stream LLC,141 West Jackson,60604,Chicago,Illinois,USA,0,9613380876,"Lamber Goodnow Injury Lawyers Chicago, 141, West Jackson Boulevard, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, United States",office,lawyer,41.8778832,-87.6323243
Digital Realty,2260 East El Segundo Boulevard,90245,El Segundo,California,USA,0,424945852,"DRT LAX12, 2260, East El Segundo Boulevard, El Segundo, California, 90245, United States",building,data_center,33.915514,-118.3846185
NJFX,1410 Wall Church Rd,7719,Wall,New Jersey,USA,0,60244117,"1410, Wall Church Road, Osbornes Mills, Wall Township, Monmouth County, New Jersey, 07719, United States",place,house,40.16004143,-74.05250204
Digital Realty,731 East Trade Street,28202,Charlotte,North Carolina,USA,0,886387747,"East Trade Street, Uptown, Charlotte, Mecklenburg County, North Carolina, 28202, United States",highway,primary,35.2240795,-80.8394104
CoreSite,2115 NW 22nd Street,33142,Miami,Florida,USA,0,435531451,"2115, Northwest 22nd Street, Miami, Miami-Dade County, Florida, 33142, United States",building,yes,25.7975443,-80.2300338
EdgeConneX,4916 E Broadway,53716,Madison,Wisconsin,USA,0,129453782,"4916, East Broadway, Madison, Town of Pleasant Springs, Dane County, Wisconsin, 53716, United States",place,house,43.04810594,-89.29828289
Verizon Communications Inc.,5127 Truse Rd,38117,Memphis,Tennessee,USA,0,19628425,"5127, Truse Road, Memphis, Shelby County, West Tennessee, Tennessee, 38117, United States",place,house,35.10887588,-89.89250625
Binary Net,134 S. 13th St.,68508,Lincoln,Nebraska,USA,0,14145418,"134, South 13th Street, Downtown, Original Lincoln, Lincoln, Lancaster County, Nebraska, 68508, United States",place,house,40.81316792,-96.70249408
Serverfarm,4949 Randolph Rd NE,98837,Moses Lake,Washington,USA,0,449177497,"Randolph Road Northeast, Moses Lake, Grant County, Washington, 98835, United States",highway,tertiary,47.190812,-119.2951056
ColoCrossing,3004 Irving Blvd,75247,Dallas,Texas,USA,0,858032454,"3004, West Irving Boulevard, Irving, Dallas County, Texas, 75061, United States",place,house,32.83276134,-96.98748622
DataBank,8375 Dominion Pkwy,75024,Plano,Texas,USA,0,1083806878,"Dominion Parkway, Plano, Collin County, Texas, 75024, United States",highway,tertiary,33.078736,-96.8022483
CROWN CASTLE,401 N. Broad Street,19108,Philadelphia,Pennsylvania,USA,0,334264478,"Terminal Commerce Building, 401, North Broad Street, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19103, United States",building,yes,39.9598694,-75.16081442
Digital Realty,250 Williams Street NW,30303,Atlanta,Georgia,USA,0,630696901,"250, Williams Street Northwest, Hotel District, Atlanta, Fulton County, Georgia, 30308, United States",place,house,33.76163914,-84.39064994
Lumen,1220 L Street NW,20005,Washington,District of Columbia,USA,0,4134255300,"Shred Nations, 1220, L Street Northwest, Downtown, Ward 2, Washington, District of Columbia, 20005, United States",office,company,38.9033399,-77.0290413
Lumen,511 11th Avenue South,55415,Minneapolis,Minnesota,USA,0,63619642,"Minnesota Gateway Data Center, 511, 11th Avenue South, Minneapolis, Hennepin County, Minnesota, 55415, United States",building,yes,44.97112695,-93.25461666
C Spire,6184 US Hwy 98,39402,Hattiesburg,Mississippi,USA,0,545557883,"Lance Corporal Roy M Wheat Memorial Highway, Hattiesburg, Forrest County, Mississippi, United States",highway,motorway,31.2501953,-89.3304347
Switch,5225 W. Capovilla Ave,89118,Las Vegas,Nevada,USA,0,14314351,"West Capovilla Avenue, Enterprise, Clark County, Nevada, 89118, United States",highway,residential,36.0590131,-115.1948
Data Foundry,7401 East Ben White Blvd.,78741,Austin,Texas,USA,0,379204097,"7401, East Ben White Boulevard, Austin, Travis County, Texas, 78741, United States",building,yes,30.214974,-97.69497413
TulsaConnect,110 W. 7th St,74119,Tulsa,Oklahoma,USA,0,60965490,"Hillcrest Building, 110, West 7th Street, Oil Capital Historic District, Tulsa, Tulsa County, Oklahoma, 74119, United States",building,yes,36.1485791,-95.9906334
Iron Mountain Data Centers,2925 NW 120th Terrace,33167,Miami,Florida,USA,0,6037097337,"2925, Northwest 120th Terrace, Westview, Hialeah, Miami-Dade County, Florida, 33167, United States",place,house,25.8845422,-80.247101
Integris,205 2nd Street SW,55006,Braham,Minnesota,USA,0,118119015,"205, 2nd Street Southwest, Braham Mobile Home Park, Braham, Isanti County, Minnesota, 55006, United States",place,house,45.72411185,-93.17396047
Google,14706 Schram Rd,68138,Papillion,Nebraska,USA,0,14211332,"14706, Schram Road, Papillion, Sarpy County, Nebraska, 68138, United States",place,house,41.13257763,-96.14445961
AT&T Inc.,444 NW 79th Ave,33126,Miami,Florida,USA,0,308847268,"444, Northwest 79th Avenue, Hialeah, Miami-Dade County, Florida, 33126, United States",building,commercial,25.7736485,-80.32540217
Prime Data Centers,1111 Comstock St,95054,Santa Clara,California,USA,0,47570552,"1111, Comstock Street, Santa Clara, Santa Clara County, California, 95054, United States",place,house,37.37470741,-121.952001
Prime Data Centers,4701 S Santa Fe Ave,90058,Vernon,California,USA,0,966499786,"South Santa Fe Avenue, Vernon, California, 90058, United States",highway,secondary,34.0141615,-118.2303388
FirST Light Fiber,310 Marlboro St,3431,Keene,New Hampshire,USA,0,71079619,"310, Marlboro Street, Keene, Cheshire County, New Hampshire, 03431, United States",place,house,42.92364872,-72.26453418
Vaultas,1101 N Market St,53202,Milwaukee,Wisconsin,USA,0,5714414623,"Milwaukee Symphony Orchestra, 1101, North Market Street, Juneautown, Downtown, Milwaukee, Milwaukee County, Wisconsin, 53202, United States",office,ngo,43.0449333,-87.9100784
Amazon AWS,10281 Tanner Way,20110,Manassas,Virginia,USA,0,958057048,"Tanner Way, Manassas, Prince William County, Virginia, 20110, United States",highway,unclassified,38.7381302,-77.5035909
Dynamic Quest,4821 Koger Blvd.,27407,Greensboro,North Carolina,USA,0,470309831,"4821, Koger Boulevard, Whispering Woods, Beechcroft, Greensboro, Guilford County, North Carolina, 27407, United States",building,yes,36.0497669,-79.88165404
Consolidated Communications,770 Elm St,3101,Manchester,New Hampshire,USA,0,1019398284,"Consolidated Communications, 770, Elm Street, Manchester, Hillsborough County, New Hampshire, 03101, United States",building,commercial,42.9890144,-71.46365473
Oso Grande Technologies,725 6th Street NW,87102,Albuquerque,New Mexico,USA,0,14413979,"725, 6th Street Northwest, Downtown Albuquerque, Albuquerque, Bernalillo County, New Mexico, 87102, United States",place,house,35.09180641,-106.6528148
TierPoint,500 Rutherford Avenue,2129,Boston,Massachusetts,USA,0,6500599676,"Indigo Ag, 500, Rutherford Avenue, Charlestown, Boston, Suffolk County, Massachusetts, 02129, United States",office,company,42.381769,-71.0730303
Meta,4500 Like Way,76177,Fort Worth,Texas,USA,0,12151446220,"4500, Like Way, Alliance Gateway North, Fort Worth, Tarrant County, Texas, 76262, United States",place,house,32.9844048,-97.2617581
Digital Fortress,511 SW 10th Ave.,97205,Portland,Oregon,USA,0,6380267104,"Pacific University Eye Clinic, 511, Southwest 10th Avenue, Downtown, Portland, Multnomah County, Oregon, 97205, United States",shop,optician,45.5211102,-122.6817286
The Globe Building,710 North Tucker Blvd,63101,St. Louis,Missouri,USA,0,10257988107,"Maxar, 710, North Tucker Boulevard, Downtown West, Saint Louis, Missouri, 63101, United States",office,company,38.6326172,-90.1959473
Cologix,535 Scherers Ct,43085,Columbus,Ohio,USA,0,21358587,"535, Scherers Court, Columbus, Sharon, Franklin County, Ohio, 43085, United States",place,house,40.1164761,-83.00216667
360 Technology Center Solutions,360 E. 22nd St.,60148,Lombard,Illinois,USA,0,186592505,"360, East 22nd Street, Highland Hills, Lombard, DuPage County, Illinois, 60148, United States",place,house,41.84581133,-88.00720071
Switch,5325 W. Capovilla Ave,89118,Las Vegas,Nevada,USA,0,14314351,"West Capovilla Avenue, Enterprise, Clark County, Nevada, 89118, United States",highway,residential,36.0590131,-115.1948
Lumen,300 Bent Street,2141,Cambridge,Massachusetts,USA,0,29806082,"300, Bent Street, Wellington-Harrington, East Cambridge, Cambridge, Middlesex County, Massachusetts, 02141, United States",building,warehouse,42.36734905,-71.08673631
Acceleration,2511 NW 41st Street,32606,Gainesville,Florida,USA,0,228319187,"2511, Northwest 41st Street, Thornebrooke, Gainesville, Alachua County, Florida, 32606, United States",place,house,29.67617768,-82.38654138
Equinix,1920 E Maple Ave,90245,El Segundo,California,USA,0,424945843,"1920, East Maple Avenue, El Segundo, California, 90245, United States",building,industrial,33.9263426,-118.3940556
Evocative Data Centers,534 Stockton Ave,95126,San Jose,California,USA,0,8994053092,"534, Stockton Avenue, College Park, Rose Garden, San Jose, Santa Clara County, California, 95126, United States",place,house,37.3385488,-121.910161
