Year,v
1970,302.6034934628923
1971,298.7260531897564
1972,304.25530278238307
1973,316.9290933711159
1974,292.2490150166735
1975,301.5337454829503
1976,297.8387093599666
1978,293.0499904033578
1979,301.03991412708496
1980,298.5797941046417
1981,298.8111825093742
1982,297.2733966184084
1983,292.662479023915
1984,294.10852519221027
1985,289.8187829910785
1986,291.21392979876236
1987,291.07719582917366
1988,290.921088512848
1989,294.03752018926303
1990,289.2638418801366
1991,292.1018272364644
1992,284.60718203759683
1993,280.07707191455575
1994,286.3404056828441
1995,284.52950764884156
1996,286.9231873817798
1997,283.90130001066365
1998,289.2651627246394
1999,289.169509861646
2000,289.49959646444455
2001,289.7486909695903
2002,289.7799317172033
2003,289.9515108030326
2004,287.3465568954028
2005,287.27679590618175
2006,285.3861321974776
2007,288.10354198747865
2008,285.3897614076016
2009,287.8268143648931
2010,290.7956738048501
2011,287.9228026129456
2012,288.4518791775177
2013,288.64195573164073
2014,290.066036693629
2015,288.8646921067973
2016,285.39605116778114
2017,288.29552598242026
2018,289.0505310645925
2019,288.10226169414227
2020,284.49484337737607
2021,286.75021611560356
2022,285.23007983320986
2023,288.49872383823634
